Ab,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB
3,Hardik Pandya,6,3,16,2,2.66,29,2,0,1,0
4,Kuldeep Yadav,7.3,0,29,1,3.86,22,2,0,0,0
5,Washington Sundar,3,1,7,2,2.33,13,0,0,0,0
0,Hardik Pandya,6,0,37,1,6.16,23,3,2,3,0
1,Washington Sundar,6,0,49,0,8.16,15,4,3,1,0
2,Shardul Thakur,6,0,45,3,7.50,15,4,2,1,0
3,Umran Malik,7,0,52,1,7.42,18,5,2,2,0
4,Kuldeep Yadav,9,0,62,3,6.88,21,4,2,2,0
5,Yuzvendra Chahal,7.2,0,43,2,5.86,22,3,2,0,0
0,Mohammed Shami,6,2,17,3,2.83,30,1,1,2,0
1,Mohammed Siraj,5.4,1,29,3,5.11,26,7,0,0,0
2,Hardik Pandya,5,0,29,1,5.80,19,2,2,1,0
3,Shardul Thakur,2,0,12,0,6.00,8,1,1,0,0
4,Ravindra Jadeja,9,0,46,2,5.11,27,4,1,0,0
5,Kuldeep Yadav,8,1,48,1,6.00,24,5,1,0,0
0,Mohammed Shami,3,0,29,0,9.66,11,3,2,3,0
1,Mohammed Siraj,3,0,37,0,12.33,6,8,0,1,0
2,Axar Patel,3,0,25,0,8.33,7,4,0,0,0
3,Hardik Pandya,1,0,18,0,18.00,3,0,3,0,0
4,Kuldeep Yadav,1,0,12,0,12.00,2,1,1,0,0
0,Mohammed Shami,6,0,37,0,6.16,23,4,2,0,0
1,Mohammed Siraj,7,1,37,2,5.28,28,6,1,0,0
2,Axar Patel,8,0,57,2,7.12,24,3,4,0,1
3,Hardik Pandya,8,0,44,3,5.50,24,4,0,1,0
4,Ravindra Jadeja,10,0,34,0,3.40,31,1,0,1,0
5,Kuldeep Yadav,10,1,56,3,5.60,30,4,1,1,0
0,Hardik Pandya,3,0,17,1,5.66,13,2,1,0,0
1,Mukesh Kumar,5,1,22,1,4.40,21,3,0,2,0
2,Shardul Thakur,3,1,14,1,4.66,11,2,0,1,0
3,Ravindra Jadeja,6,0,37,3,6.16,18,2,1,2,2
4,Umran Malik,3,0,17,0,5.66,10,3,0,0,0
5,Kuldeep Yadav,3,2,6,4,2.00,15,0,0,0,0
0,Hardik Pandya,6.4,0,38,0,5.70,22,4,1,1,0
1,Mukesh Kumar,3,0,17,0,5.66,12,3,0,0,0
