,Name,Out/NotOut,Runs,Balls,4s,6s,SR
477,Suryakumar Yadav,1,14,9,0,2,155.55
478,Hardik Pandya,1,54,38,3,3,142.10
479,Washington Sundar,1,9,14,1,0,64.28
480,Shardul Thakur,1,25,17,3,1,147.05
481,Kuldeep Yadav,1,3,3,0,0,100.00
482,Umran Malik,0,2,5,0,0,40.00
483,Ishan Kishan,1,3,8,0,0,37.50
484,Shubman Gill,1,20,31,3,0,64.51
485,Virat Kohli,1,4,9,1,0,44.44
486,Suryakumar Yadav,1,0,1,0,0,0.00
487,KL Rahul,0,75,91,7,1,82.41
488,Hardik Pandya,1,25,31,3,1,80.64
489,Ravindra Jadeja,0,45,69,5,0,65.21
490,Rohit Sharma,1,13,15,2,0,86.66
491,Shubman Gill,1,0,2,0,0,0.00
492,Virat Kohli,1,31,35,4,0,88.57
493,Suryakumar Yadav,1,0,1,0,0,0.00
494,KL Rahul,1,9,12,1,0,75.00
495,Hardik Pandya,1,1,3,0,0,33.33
496,Ravindra Jadeja,1,16,39,1,0,41.02
497,Axar Patel,0,29,29,1,2,100.00
498,Kuldeep Yadav,1,4,17,0,0,23.52
499,Mohammed Shami,1,0,1,0,0,0.00
500,Mohammed Siraj,1,0,3,0,0,0.00
501,Rohit Sharma,1,30,17,2,2,176.47
502,Shubman Gill,1,37,49,4,1,75.51
503,Virat Kohli,1,54,72,2,1,75.00
504,KL Rahul,1,32,50,2,1,64.00
505,Axar Patel,1,2,4,0,0,50.00
506,Hardik Pandya,1,40,40,3,1,100.00
507,Suryakumar Yadav,1,0,1,0,0,0.00
508,Ravindra Jadeja,1,18,33,1,0,54.54
509,Kuldeep Yadav,1,6,15,0,0,40.00
510,Mohammed Shami,1,14,10,1,1,140.00
511,Mohammed Siraj,0,3,5,0,0,60.00
512,Ishan Kishan,1,52,46,7,1,113.04
513,Shubman Gill,1,7,16,1,0,43.75
514,Suryakumar Yadav,1,19,25,3,1,76.00
515,Hardik Pandya,1,5,7,0,0,71.42
516,Ravindra Jadeja,0,16,21,1,0,76.19
517,Shardul Thakur,1,1,4,0,0,25.00
518,Rohit Sharma,0,12,19,2,0,63.15
519,Ishan Kishan,1,55,55,6,1,100.00
520,Shubman Gill,1,34,49,5,0,69.38
521,Sanju Samson,1,9,19,0,0,47.36
522,Axar Patel,1,1,8,0,0,12.50
523,Hardik Pandya,1,7,14,0,0,50.00
524,Suryakumar Yadav,1,24,25,3,0,96.00
525,Ravindra Jadeja,1,10,21,0,0,47.61
526,Shardul Thakur,1,16,22,2,0,72.72
527,Kuldeep Yadav,0,8,23,1,0,34.78
528,Umran Malik,1,0,2,0,0,0.00
529,Mukesh Kumar,1,6,7,1,0,85.71
530,Ishan Kishan,1,77,64,8,3,120.31
531,Shubman Gill,1,85,92,11,0,92.39
532,Ruturaj Gaikwad,1,8,14,1,0,57.14
533,Sanju Samson,1,51,41,2,4,124.39
534,Hardik Pandya,0,70,52,4,5,134.61
535,Suryakumar Yadav,1,35,30,2,2,116.66
536,Ravindra Jadeja,0,8,7,0,0,114.28
