Abc,Match,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,MatchId
2,india vs west indies,Prasidh Krishna,8.1,1,27,3,3.3,37,2,1,1,0,ODI no. 4356
3,india vs west indies,Kuldeep Yadav,8,0,51,2,6.37,27,2,4,2,0,ODI no. 4356
4,india vs west indies,Washington Sundar,4,0,17,0,4.25,18,1,1,2,0,ODI no. 4356
0,england vs india,Mohammed Shami,7,0,31,3,4.42,29,5,0,1,0,ODI no. 4424
1,england vs india,Jasprit Bumrah,7.2,3,19,6,2.59,38,2,0,2,0,ODI no. 4424
2,england vs india,Hardik Pandya,4,0,22,0,5.5,13,3,0,0,0,ODI no. 4424
3,england vs india,Prasidh Krishna,5,0,26,1,5.2,22,6,0,0,0,ODI no. 4424
4,england vs india,Yuzvendra Chahal,2,0,10,0,5,7,0,1,0,0,ODI no. 4424
0,england vs india,Mohammed Shami,10,0,48,1,4.8,39,4,1,3,0,ODI no. 4428
1,england vs india,Jasprit Bumrah,10,1,49,2,4.9,39,4,2,0,1,ODI no. 4428
2,england vs india,Hardik Pandya,6,0,28,2,4.66,20,1,1,3,0,ODI no. 4428
3,england vs india,Prasidh Krishna,8,0,53,1,6.62,23,4,2,1,0,ODI no. 4428
4,england vs india,Yuzvendra Chahal,10,0,47,4,4.7,33,4,1,1,0,ODI no. 4428
5,england vs india,Ravindra Jadeja,5,0,17,0,3.4,15,0,0,0,0,ODI no. 4428
0,england vs india,Mohammed Shami,7,0,38,0,5.42,24,6,0,0,0,ODI no. 4433
1,england vs india,Mohammed Siraj,9,1,66,2,7.33,29,7,1,5,0,ODI no. 4433
2,england vs india,Prasidh Krishna,9,0,48,0,5.33,31,5,1,2,1,ODI no. 4433
3,england vs india,Hardik Pandya,7,3,24,4,3.42,33,0,2,0,0,ODI no. 4433
4,england vs india,Yuzvendra Chahal,9.5,0,60,3,6.1,25,0,4,2,0,ODI no. 4433
5,england vs india,Ravindra Jadeja,4,0,21,1,5.25,11,2,0,0,1,ODI no. 4433
0,west indies vs india,Mohammed Siraj,10,0,57,2,5.7,31,7,0,3,0,ODI no. 4436
1,west indies vs india,Prasidh Krishna,10,1,62,0,6.2,34,6,3,2,0,ODI no. 4436
2,west indies vs india,Shardul Thakur,8,0,54,2,6.75,18,3,1,1,3,ODI no. 4436
3,west indies vs india,Axar Patel,7,0,43,0,6.14,17,3,1,0,0,ODI no. 4436
4,west indies vs india,Deepak Hooda,5,0,22,0,4.4,14,1,0,3,0,ODI no. 4436
5,west indies vs india,Yuzvendra Chahal,10,0,58,2,5.8,28,3,3,0,0,ODI no. 4436
0,west indies vs india,Mohammed Siraj,10,1,46,0,4.6,36,4,1,2,0,ODI no. 4438
1,west indies vs india,Avesh Khan,6,0,54,0,9,13,8,1,0,0,ODI no. 4438
2,west indies vs india,Shardul Thakur,7,0,54,3,7.71,16,3,2,3,1,ODI no. 4438
3,west indies vs india,Deepak Hooda,9,0,42,1,4.66,27,3,1,0,0,ODI no. 4438
4,west indies vs india,Axar Patel,9,1,40,1,4.44,30,3,1,0,0,ODI no. 4438
5,west indies vs india,Yuzvendra Chahal,9,0,69,1,7.66,25,2,6,1,0,ODI no. 4438
0,west indies vs india,Deepak Hooda,4,1,16,0,4,16,1,1,0,0,ODI no. 4439
1,west indies vs india,Mohammed Siraj,3,0,14,2,4.66,12,0,1,0,0,ODI no. 4439
2,west indies vs india,Axar Patel,6,0,38,1,6.33,15,4,1,0,0,ODI no. 4439
3,west indies vs india,Prasidh Krishna,4,0,30,1,7.5,10,5,0,1,0,ODI no. 4439
4,west indies vs india,Yuzvendra Chahal,4,0,17,4,4.25,11,1,0,0,0,ODI no. 4439
5,west indies vs india,Shardul Thakur,5,0,17,2,3.4,18,1,0,0,0,ODI no. 4439
0,zimbabwe vs india,Deepak Chahar,7,0,27,3,3.85,30,3,0,2,0,ODI no. 4451
1,zimbabwe vs india,Mohammed Siraj,8,2,36,1,4.5,35,4,0,2,0,ODI no. 4451
2,zimbabwe vs india,Kuldeep Yadav,10,1,36,0,3.6,34,0,1,0,0,ODI no. 4451
3,zimbabwe vs india,Prasidh Krishna,8,0,50,3,6.25,27,8,0,1,0,ODI no. 4451
4,zimbabwe vs india,Axar Patel,7.3,2,24,3,3.2,34,2,1,0,0,ODI no. 4451
0,zimbabwe vs india,Mohammed Siraj,8,2,16,1,2,42,0,0,4,0,ODI no. 4454
1,zimbabwe vs india,Prasidh Krishna,6.1,1,28,1,4.54,27,1,1,1,0,ODI no. 4454
2,zimbabwe vs india,Shardul Thakur,7,0,38,3,5.42,27,5,0,3,0,ODI no. 4454
3,zimbabwe vs india,Axar Patel,7,1,20,1,2.85,23,0,0,0,0,ODI no. 4454
4,zimbabwe vs india,Kuldeep Yadav,8,0,49,1,6.12,22,5,1,1,0,ODI no. 4454
