,Match,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,MatchId
197,IND vs WI,Washington Sundar,4.0,0,17,0,4.25,18,1,1,2,0,ODI no. 4356
198,ENG vs IND,Mohammed Shami,7.0,0,31,3,4.42,29,5,0,1,0,ODI no. 4424
199,ENG vs IND,Jasprit Bumrah,7.2,3,19,6,2.59,38,2,0,2,0,ODI no. 4424
200,ENG vs IND,Hardik Pandya,4.0,0,22,0,5.5,13,3,0,0,0,ODI no. 4424
201,ENG vs IND,Prasidh Krishna,5.0,0,26,1,5.2,22,6,0,0,0,ODI no. 4424
202,ENG vs IND,Yuzvendra Chahal,2.0,0,10,0,5.0,7,0,1,0,0,ODI no. 4424
203,ENG vs IND,Mohammed Shami,10.0,0,48,1,4.8,39,4,1,3,0,ODI no. 4428
204,ENG vs IND,Jasprit Bumrah,10.0,1,49,2,4.9,39,4,2,0,1,ODI no. 4428
205,ENG vs IND,Hardik Pandya,6.0,0,28,2,4.66,20,1,1,3,0,ODI no. 4428
206,ENG vs IND,Prasidh Krishna,8.0,0,53,1,6.62,23,4,2,1,0,ODI no. 4428
207,ENG vs IND,Yuzvendra Chahal,10.0,0,47,4,4.7,33,4,1,1,0,ODI no. 4428
208,ENG vs IND,Ravindra Jadeja,5.0,0,17,0,3.4,15,0,0,0,0,ODI no. 4428
209,ENG vs IND,Mohammed Shami,7.0,0,38,0,5.42,24,6,0,0,0,ODI no. 4433
210,ENG vs IND,Mohammed Siraj,9.0,1,66,2,7.33,29,7,1,5,0,ODI no. 4433
211,ENG vs IND,Prasidh Krishna,9.0,0,48,0,5.33,31,5,1,2,1,ODI no. 4433
212,ENG vs IND,Hardik Pandya,7.0,3,24,4,3.42,33,0,2,0,0,ODI no. 4433
213,ENG vs IND,Yuzvendra Chahal,9.5,0,60,3,6.1,25,0,4,2,0,ODI no. 4433
214,ENG vs IND,Ravindra Jadeja,4.0,0,21,1,5.25,11,2,0,0,1,ODI no. 4433
215,WI vs IND,Mohammed Siraj,10.0,0,57,2,5.7,31,7,0,3,0,ODI no. 4436
216,WI vs IND,Prasidh Krishna,10.0,1,62,0,6.2,34,6,3,2,0,ODI no. 4436
217,WI vs IND,Shardul Thakur,8.0,0,54,2,6.75,18,3,1,1,3,ODI no. 4436
218,WI vs IND,Axar Patel,7.0,0,43,0,6.14,17,3,1,0,0,ODI no. 4436
219,WI vs IND,Deepak Hooda,5.0,0,22,0,4.4,14,1,0,3,0,ODI no. 4436
220,WI vs IND,Yuzvendra Chahal,10.0,0,58,2,5.8,28,3,3,0,0,ODI no. 4436
221,WI vs IND,Mohammed Siraj,10.0,1,46,0,4.6,36,4,1,2,0,ODI no. 4438
222,WI vs IND,Avesh Khan,6.0,0,54,0,9.0,13,8,1,0,0,ODI no. 4438
223,WI vs IND,Shardul Thakur,7.0,0,54,3,7.71,16,3,2,3,1,ODI no. 4438
224,WI vs IND,Deepak Hooda,9.0,0,42,1,4.66,27,3,1,0,0,ODI no. 4438
225,WI vs IND,Axar Patel,9.0,1,40,1,4.44,30,3,1,0,0,ODI no. 4438
226,WI vs IND,Yuzvendra Chahal,9.0,0,69,1,7.66,25,2,6,1,0,ODI no. 4438
227,WI vs IND,Deepak Hooda,4.0,1,16,0,4.0,16,1,1,0,0,ODI no. 4439
228,WI vs IND,Mohammed Siraj,3.0,0,14,2,4.66,12,0,1,0,0,ODI no. 4439
229,WI vs IND,Axar Patel,6.0,0,38,1,6.33,15,4,1,0,0,ODI no. 4439
230,WI vs IND,Prasidh Krishna,4.0,0,30,1,7.5,10,5,0,1,0,ODI no. 4439
231,WI vs IND,Yuzvendra Chahal,4.0,0,17,4,4.25,11,1,0,0,0,ODI no. 4439
232,WI vs IND,Shardul Thakur,5.0,0,17,2,3.4,18,1,0,0,0,ODI no. 4439
233,ZIM vs IND,Deepak Chahar,7.0,0,27,3,3.85,30,3,0,2,0,ODI no. 4451
234,ZIM vs IND,Mohammed Siraj,8.0,2,36,1,4.5,35,4,0,2,0,ODI no. 4451
235,ZIM vs IND,Kuldeep Yadav,10.0,1,36,0,3.6,34,0,1,0,0,ODI no. 4451
236,ZIM vs IND,Prasidh Krishna,8.0,0,50,3,6.25,27,8,0,1,0,ODI no. 4451
237,ZIM vs IND,Axar Patel,7.3,2,24,3,3.2,34,2,1,0,0,ODI no. 4451
238,ZIM vs IND,Mohammed Siraj,8.0,2,16,1,2.0,42,0,0,4,0,ODI no. 4454
239,ZIM vs IND,Prasidh Krishna,6.1,1,28,1,4.54,27,1,1,1,0,ODI no. 4454
240,ZIM vs IND,Shardul Thakur,7.0,0,38,3,5.42,27,5,0,3,0,ODI no. 4454
241,ZIM vs IND,Axar Patel,7.0,1,20,1,2.85,23,0,0,0,0,ODI no. 4454
242,ZIM vs IND,Kuldeep Yadav,8.0,0,49,1,6.12,22,5,1,1,0,ODI no. 4454
243,ZIM vs IND,Deepak Hooda,2.0,0,6,1,3.0,7,0,0,0,0,ODI no. 4454
244,ZIM vs IND,Deepak Chahar,10.0,0,75,2,7.5,25,7,3,1,0,ODI no. 4457
245,ZIM vs IND,Avesh Khan,9.3,1,66,3,6.94,29,7,2,1,2,ODI no. 4457
246,ZIM vs IND,Shardul Thakur,9.0,0,55,1,6.11,26,5,0,2,2,ODI no. 4457
247,ZIM vs IND,Kuldeep Yadav,10.0,0,38,2,3.8,33,1,0,2,0,ODI no. 4457
248,ZIM vs IND,Deepak Hooda,1.0,0,9,0,9.0,3,2,0,0,0,ODI no. 4457
249,ZIM vs IND,Axar Patel,10.0,1,30,2,3.0,39,2,0,1,0,ODI no. 4457
250,IND vs SA,Mohammed Siraj,8.0,0,49,0,6.12,26,5,1,3,0,ODI no. 4470
251,IND vs SA,Avesh Khan,8.0,0,51,0,6.37,28,4,2,2,0,ODI no. 4470
252,IND vs SA,Shardul Thakur,8.0,1,35,2,4.37,26,3,0,2,0,ODI no. 4470
253,IND vs SA,Ravi Bishnoi,8.0,0,69,1,8.62,21,7,1,4,1,ODI no. 4470
254,IND vs SA,Kuldeep Yadav,8.0,0,39,1,4.87,24,2,1,0,0,ODI no. 4470
255,IND vs SA,Mohammed Siraj,10.0,1,38,3,3.8,39,5,0,2,0,ODI no. 4471
256,IND vs SA,Washington Sundar,9.0,0,60,1,6.66,20,6,1,0,0,ODI no. 4471
257,IND vs SA,Shahbaz Ahmed,10.0,0,54,1,5.4,25,4,1,0,0,ODI no. 4471
258,IND vs SA,Avesh Khan,7.0,0,35,0,5.0,24,5,0,1,0,ODI no. 4471
