,Match,Name,Out/NotOut,Runs,Balls,4s,6s,SR,MatchId
303,ENG vs IND,Rishabh Pant,1,0,5,0,0,0.00,ODI no. 4428
304,ENG vs IND,Suryakumar Yadav,1,27,29,1,1,93.10,ODI no. 4428
305,ENG vs IND,Hardik Pandya,1,29,44,2,0,65.90,ODI no. 4428
306,ENG vs IND,Ravindra Jadeja,1,29,44,1,1,65.90,ODI no. 4428
307,ENG vs IND,Mohammed Shami,1,23,28,2,1,82.14,ODI no. 4428
308,ENG vs IND,Jasprit Bumrah,0,2,6,0,0,33.33,ODI no. 4428
309,ENG vs IND,Yuzvendra Chahal,1,3,13,0,0,23.07,ODI no. 4428
310,ENG vs IND,Prasidh Krishna,1,0,3,0,0,0.00,ODI no. 4428
311,ENG vs IND,Rohit Sharma,1,17,17,4,0,100.00,ODI no. 4433
312,ENG vs IND,Shikhar Dhawan,1,1,3,0,0,33.33,ODI no. 4433
313,ENG vs IND,Virat Kohli,1,17,22,3,0,77.27,ODI no. 4433
314,ENG vs IND,Rishabh Pant,0,125,113,16,2,110.61,ODI no. 4433
315,ENG vs IND,Suryakumar Yadav,1,16,28,1,0,57.14,ODI no. 4433
316,ENG vs IND,Hardik Pandya,1,71,55,10,0,129.09,ODI no. 4433
317,ENG vs IND,Ravindra Jadeja,0,7,15,0,0,46.66,ODI no. 4433
318,WI vs IND,Shikhar Dhawan,1,97,99,10,3,97.97,ODI no. 4436
319,WI vs IND,Shubman Gill,1,64,53,6,2,120.75,ODI no. 4436
320,WI vs IND,Shreyas Iyer,1,54,57,5,2,94.73,ODI no. 4436
321,WI vs IND,Suryakumar Yadav,1,13,14,2,0,92.85,ODI no. 4436
322,WI vs IND,Sanju Samson,1,12,18,0,1,66.66,ODI no. 4436
323,WI vs IND,Deepak Hooda,1,27,32,1,1,84.37,ODI no. 4436
324,WI vs IND,Axar Patel,1,21,21,1,1,100.00,ODI no. 4436
325,WI vs IND,Shardul Thakur,0,7,5,1,0,140.00,ODI no. 4436
326,WI vs IND,Mohammed Siraj,0,1,2,0,0,50.00,ODI no. 4436
327,WI vs IND,Shikhar Dhawan,1,13,31,0,0,41.93,ODI no. 4438
